title,picture,author,synopsis,classement,language,genre,link_fanfic
A Family Visit,/static/images/d_60_90.jpg,Wawa101,"Fujitaka, Touya and Yukito visit Sakura and Eriol in London for a family holiday. Takes place about a year after ""High School Reunion"".",Rated: K , English , Family ,/s/13841777/1/A-Family-Visit
High School Reunion,/static/images/d_60_90.jpg,High School Reunion,"Sakura and Eriol go to their high school reunion. ExS, featuring Tomoyo, Rika, Naoko, Chiharu & Yamazaki. Set in the same universe as my series. COMPLETE",Rated: K , English , Romance/Friendship ,/s/13837948/1/High-School-Reunion
Forever and A Day,/static/images/d_60_90.jpg,Wawa101,"3rd in the series. Sakura wants to learn more about the magic world by joining the council. After an incident, Sakura learns that her magic has the power to change her life and her future forever. ",Rated: T , English , Drama/Romance ,/s/13803737/1/Forever-and-A-Day
The Past Returns,/static/images/d_60_90.jpg,The Past Returns,"This story takes place straight after movie 2. Syaoran has to go back to Hong Kong, leaving Sakura behind in Japan. Wanting to use her cards without her sealing staff Sakura makes it her new mission in life but is dealing with Syaoran's absence and now a new threat from the past proving to much to handle? Please read to find out! (",Rated: T , English , Adventure/Romance ,/s/11014467/1/The-Past-Returns
Our Songs: ExT,/static/images/d_60_90.jpg,Our Songs: ExT,A collection of stand-alone ficlets inspired by random songs. All ExT.,Rated: T , English , Romance ,/s/13822252/1/Our-Songs-ExT
Outside Looking In,/static/images/d_60_90.jpg,Outside Looking In,"Eriol needed inspiration and Tomoyo just happened to move in next door. Two people who have always watched from the sidelines, never part of the world they have always observed. A writer who could read other people like a book and a songbird that had always been trapped in her gilded cage. Will anything happen if you're always on the outside looking in? ExT AU with a side of SxS",Rated: T , English , Romance ,/s/13637761/1/Outside-Looking-In
Will You Marry Me?,/static/images/d_60_90.jpg,Will You Marry Me?,She finally said yes. Eriol/Sakura. Just a very short piece that I wrote.,Rated: K , English , Romance ,/s/13815487/1/Will-You-Marry-Me
Everdream,/static/images/d_60_90.jpg,anna's-pen,"""Find me Syaoran. Just once more, for one last time. Find me!"". Two star-crossed lovers will try to be by each other's side; every time, every life, until the cycle breaks. SAKXSYAO.",Rated: T , English , Romance/Drama ,/s/13742407/1/Everdream
Melting a Wolf,/static/images/d_60_90.jpg,petite.plants,"Appearances aren't always what they seem, but hardened Prince Syaoran of the Li Kingdom is quite sure that the angelic young princess in his throne room, though leaving him breathless, is an idiotic girl unworthy of his time. How wrong he would prove himself to be... SakuraxSyaoran",Rated: T , English , Romance/Fantasy ,/s/12279516/1/Melting-a-Wolf
Chains of Binding Crystal,/static/images/d_60_90.jpg,WixieMoon,"I'm horrible at summaries so please just read. maybe I'll put a summary later. I don't own Card Captures, I only own my OC's and I'm using the English names. it's K to be safe but honestly nothing bads really in it.",Rated: K+ , English , Angst/Hurt/Comfort ,/s/13745102/1/Chains-of-Binding-Crystal
Written in Our Stars,/static/images/d_60_90.jpg,Written in Our Stars,"Clow Reed, the most accomplished sorcerer of all times had underestimated the most powerful form of magic, a force named love. This is a story about how this unforeseen power called love completely changes the course of Clow's plans in connection to one of his finest creations, and two humans, one having extraordinary magical powers, and the other possessing no such magic.",Rated: K+ , English , Romance/Friendship ,/s/14011997/1/Written-in-Our-Stars
Cardcaptor Love Heart,/static/images/d_60_90.jpg,CryosR,"(Care Bears Crossover) The Kingdom of Caring has changed drastically to try and relate to the humans. One young Care Bear named Love Heart Bear stumbles across a magic book and accidentally releases the sealed Clow Cards trapped inside. Now with the guidance of the Guardian Beast Keroberos, Love Heart Bear must hunt down and recapture the Clow Cards. But can he keep it a secret?",Rated: K+ , English , Adventure ,/s/14029057/1/Cardcaptor-Love-Heart
She Is,/static/images/d_60_90.jpg,Sakura-chan Master of the Clow,"Syaoran had to leave Japan right after he confessed his feelings for Sakura. Years later, he's back to study at a University...in Tokyo. Fate would have it Sakura is transferring to the same University and needs a roommate. Follow this couple from sweet childhood friends to lovers who go through everyday life together and rekindle their growing feelings. [album-fic]",Rated: T , English , Romance ,/s/14021773/1/She-Is
Lovefool,/static/images/d_60_90.jpg,ericaoutloud,T. My first CCS fic. Syaoran and others save Sakura from a terrible situation. Just a story that came to me that I needed to get out of my head.,Rated: T , English , Drama/Romance ,/s/14031023/1/Lovefool
Card Captor Megumi,/static/images/d_60_90.jpg,Card Captor Megumi,"100 years after Sakura's death 12 year-old Megumi Ishida, a quiet, introverted girl stumbles upon and opens the Book of Clow. She'll be drawn into a whirlwind world of magic and danger she never knew existed in order to capture the Sakura Cards. An event that will completely alter her life as she knew it and revive memories that will change her world forever.",Rated: T , English , Adventure/Drama ,/s/13984737/1/Card-Captor-Megumi
Sakura: Knight of the Clow,/static/images/d_60_90.jpg,Sakura: Knight of the Clow,Ace reporter Tomoyo seeks out the mystery defender of Tokyo.. the Knight of Clow!,Rated: T , English , Romance/Humor ,/s/1674107/1/Sakura-Knight-of-the-Clow
Saudade,/static/images/d_60_90.jpg,Saudade,"Sakura never knew what dark secrets crept through her family and now reuniting with her cousin, she meets destiny ahead of her. Fate seemed to take over and change everything and everyone she knew. Are her dreams a sign of some sort? or memories? (Rewritten)",Rated: T , English , Romance/Drama ,/s/13820543/1/Saudade
Little Big Surprise,/static/images/d_60_90.jpg,Little Big Surprise,6th in the series. Sakura and Eriol are getting ready to embark on a new adventure. Eriol/Sakura.,Rated: K+ , English , Family/Romance ,/s/13988344/1/Little-Big-Surprise
Eriol's Edition of his songbird,/static/images/d_60_90.jpg,Empathetic Owl,"Violet Rose version from Eriol Hiragizawa's perspective with touch of genuine POV and style is mixed - drama dialogue for monologue and mixture of third person, 2nd person and 1st person perspective. Hopefully won't go to hiatus and parental guidance is a must since real world is no fairy tale.",Rated: T , English , Romance/Spiritual ,/s/14005474/1/Eriol-s-Edition-of-his-songbird
An Exercise in Writing,/static/images/d_60_90.jpg,Wawa101,A collection of unrelated short stories/oneshots.,Rated: K , English , Romance ,/s/13968275/1/An-Exercise-in-Writing
Violet Rose,/static/images/d_60_90.jpg,Empathetic Owl,Can destiny ever change? Will fate give them another change? Eriol and Tomoyo are traveling through time but how long can they keep it up?,Rated: T , English , Supernatural/Romance ,/s/13122583/1/Violet-Rose
A gift of love,/static/images/d_60_90.jpg,AnimeSakuraFan,Not my first ever CCS fic. Sakura and Syaroan believe their each other's. Belong together. A question begs to be asked. Whom to ask though. Friends/family.,Rated: T , English , Humor/Romance ,/s/13948690/1/A-gift-of-love
Cycled,/static/images/d_60_90.jpg,Cavalierious,Sakura sits into the late night and ponders her magic. Complete.,Rated: K+ , English , Romance/Drama ,/s/13984351/1/Cycled
My Best Friend and I,/static/images/d_60_90.jpg,Wawa101,"Sakura and Eriol are best friends. But their friends are not convinced. Eriol/Sakura, Syaoran/Meiling. Oneshot.",Rated: K+ , English , Romance/Friendship ,/s/13979590/1/My-Best-Friend-and-I
the deadly jewels that unlock the emeralds secrets,/static/images/d_60_90.jpg,the deadly jewels that unlock the emeralds secrets,"sakura and the gang are the average teenagers going to school to learn about magic. but what happens when they learn of Sakura, Madison, Chelsea, Rita and Meilins secrets and their very long past. and whats the deal with the jewels they need to find?",Rated: K+ , English , Adventure/Mystery ,/s/7729811/1/the-deadly-jewels-that-unlock-the-emeralds-secrets
Somewhere Between Time and Space,/static/images/d_60_90.jpg,kakiyoka,"[MedievalFantasyAU] One fateful day, Sakura, a novice spirit-mage, rescued a near-death boy, who claimed to remember nothing but his name: Li Syaoran. That time, little did she know that his real identity would reveal the world's darkest secrets. Would their encounter ignite an unquenchable tragedy, or would it give birth to a miracle unlike anything the world had ever seen?",Rated: T , English , Fantasy/Adventure ,/s/13834706/1/Somewhere-Between-Time-and-Space
Making it Count,/static/images/d_60_90.jpg,Making it Count,"ONESHOT. Taking place before the events of Clear Card, Akiho and Kaito have not been travelling together long. But during their time in Paris, Kaito decides to make a delicious chocolate mint cake for her very first birthday since they started on their journey. But when he gives her this present, Akiho's reaction is very unexpected...",Rated: K , English , Family/Hurt/Comfort ,/s/13957538/1/Making-it-Count
The Feat of the Sorceress and the Gaijin,/static/images/d_60_90.jpg,Pepsipez Ilhuicamina,"What if you are taken from home, to a place where your lifestyle is no longer there, and in the very beginning of adolescence? In this place, our heroes will learn about themselves, about what unite them, about their lineage and what are capable to do for the sake of each other, in an adventure about heroism, growth and, of course, love.",Rated: K , English , Romance/Adventure ,/s/13652088/1/The-Feat-of-the-Sorceress-and-the-Gaijin
A Chance at Love,/static/images/d_60_90.jpg,Wawa101,"This is a bad idea. He knows it, his guardians know it. But for once in his life, he just wants to follow his heart, not his head. Eriol/Sakura. ",Rated: T , English , Friendship/Romance ,/s/13909626/1/A-Chance-at-Love
Strawberry Surprises,/static/images/d_60_90.jpg,Strawberry Surprises,"When fate intervenes to give Tomoyo another chance, will she be able to make the most of it?",Rated: T , English , Drama/Romance ,/s/5266846/1/Strawberry-Surprises
Honey,/static/images/d_60_90.jpg,Captain Imagination,This is a light-hearted story. Based on the song from one of the endings of CCS' first season. Enjoy -,Rated: K , English , Fantasy/Friendship ,/s/13929267/1/Honey
The return of Li Showron,/static/images/d_60_90.jpg,The return of Li Showron,AU OOC Old Story new summery Li Left Sakura after dating for a year. 3 years later he has return wanting a 2nd chance that catch is Sakura has moved on. English names ONLY,Rated: T , English , Romance/Drama ,/s/13925436/1/The-return-of-Li-Showron
